Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system: Equatorial
|name        |ra        |dec      |trigger_time           |
|GRB090813174|15 03 12.5|+88 34 07|2009-08-13 04:10:42.593|
|GRB090814368|22 09 55.2|+58 55 12|2009-08-14 08:49:41.222|
|GRB090814950|20 30 36.0|+45 43 12|2009-08-14 22:47:28.777|
|GRB090815300|02 44 07.2|-02 43 48|2009-08-15 07:12:12.448|
|GRB090815438|01 25 40.8|+53 26 24|2009-08-15 10:30:41.849|
|GRB090815946|16 45 02.4|+52 55 48|2009-08-15 22:41:46.600|
|GRB090817036|04 15 51.8|+44 07 24|2009-08-17 00:51:26.206|
|GRB090819607|03 16 19.2|-67 07 12|2009-08-19 14:34:27.468|
|GRB090820027|05 50 48.0|+27 03 36|2009-08-20 00:38:16.189|
|GRB090820509|21 13 02.4|-18 34 48|2009-08-20 12:13:16.700|
|GRB090823133|03 18 07.2|-17 34 48|2009-08-23 03:10:53.764|
|GRB090824918|03 06 36.0|+59 48 36|2009-08-24 22:02:19.105|
|GRB090826068|09 22 28.8|-00 06 36|2009-08-26 01:37:31.854|
|GRB090828099|08 17 31.2|-26 08 24|2009-08-28 02:22:48.199|
|GRB090829672|21 56 55.2|-34 11 24|2009-08-29 16:07:38.864|
|GRB090829702|23 39 57.6|-09 21 36|2009-08-29 16:50:40.133|
|GRB090831317|09 40 24.0|+50 58 12|2009-08-31 07:36:36.583|
|GRB090902401|19 23 55.2|+53 06 36|2009-09-02 09:38:05.494|
|GRB090902462|17 39 45.4|+27 19 28|2009-09-02 11:05:08.313|
|GRB090904058|17 36 45.8|-25 12 43|2009-09-04 01:24:13.937|
|GRB090904581|17 26 36.0|+04 33 36|2009-09-04 13:57:17.125|
|GRB090907017|05 45 19.2|-38 51 00|2009-09-07 00:24:09.716|
|GRB090907808|05 24 14.4|+20 30 00|2009-09-07 19:23:47.474|
|GRB090908314|18 49 00.0|+03 32 24|2009-09-08 07:31:52.087|
|GRB090908341|11 36 33.6|-25 07 48|2009-09-08 08:10:39.814|
|GRB090909487|02 09 12.0|+53 55 12|2009-09-09 11:41:17.179|
|GRB090909854|03 36 43.2|-25 01 48|2009-09-09 20:29:52.740|
|GRB090910812|19 44 55.2|+72 16 48|2009-09-10 19:29:48.807|
|GRB090912660|12 32 09.6|+61 28 48|2009-09-12 15:50:29.103|
|GRB090915650|15 52 04.8|+15 29 16|2009-09-15 15:35:35.651|
|GRB090917661|15 21 21.6|-11 41 24|2009-09-17 15:51:38.942|
|GRB090920035|19 58 55.2|-52 11 24|2009-09-20 00:49:59.062|
|GRB090922539|01 08 38.4|+74 18 00|2009-09-22 12:56:42.137|
|GRB090922605|02 33 26.4|-73 04 48|2009-09-22 14:30:41.529|
|GRB090924625|04 38 55.2|-65 01 12|2009-09-24 14:59:54.011|
|GRB090925389|22 12 50.4|+14 16 12|2009-09-25 09:20:33.672|
|GRB090926181|23 33 36.2|-66 19 26|2009-09-26 04:20:26.987|
|GRB090926914|03 05 16.3|-39 00 40|2009-09-26 21:55:28.525|
|GRB090927422|22 55 48.0|-70 58 48|2009-09-27 10:07:17.214|
|GRB090928646|06 55 38.4|-43 31 48|2009-09-28 15:29:44.665|
|GRB090929190|03 26 48.0|-07 20 24|2009-09-29 04:33:03.966|
|GRB091002685|02 47 40.8|-14 00 36|2009-10-02 16:26:11.164|
|GRB091003191|16 46 04.8|+36 37 29|2009-10-03 04:35:45.585|
|GRB091005679|02 52 33.6|+12 07 12|2009-10-05 16:17:30.491|
|GRB091006360|16 12 26.4|-31 02 24|2009-10-06 08:38:46.928|
|GRB091010113|19 54 40.6|-22 32 17|2009-10-10 02:43:09.321|
|GRB091012783|07 17 36.0|+87 16 12|2009-10-12 18:47:02.770|
|GRB091013989|16 16 07.2|-12 45 36|2009-10-13 23:44:25.830|
|GRB091015129|21 04 21.6|-49 30 00|2009-10-15 03:05:42.937|
|GRB091017861|14 03 12.0|+25 29 24|2009-10-17 20:40:24.297|
|GRB091017985|14 17 36.0|-64 44 24|2009-10-17 23:38:57.471|
|GRB091018957|21 27 19.2|-23 04 48|2009-10-18 22:58:20.603|
|GRB091019750|15 04 07.2|+80 19 48|2009-10-19 18:00:40.881|
|GRB091020900|11 42 55.2|+50 58 48|2009-10-20 21:36:43.817|
|GRB091020977|12 31 12.0|-13 24 00|2009-10-20 23:26:34.448|
|GRB091023021|14 21 40.8|+25 57 00|2009-10-23 00:29:44.545|
|GRB091024372|22 37 00.5|+56 53 21|2009-10-24 08:55:58.472|
|GRB091024380|22 37 00.5|+56 53 21|2009-10-24 09:06:29.357|
|GRB091026485|09 08 19.2|-23 39 00|2009-10-26 11:38:48.522|
|GRB091026550|18 26 17.5|-86 06 41|2009-10-26 13:11:33.020|
|GRB091030613|16 36 00.0|+23 32 24|2009-10-30 14:43:16.436|
|GRB091030828|02 46 40.8|+21 32 24|2009-10-30 19:52:26.863|
|GRB091031500|04 46 48.0|-57 30 00|2009-10-31 12:00:28.846|
|GRB091101143|01 59 12.0|-33 40 48|2009-11-01 03:26:32.489|
|GRB091102607|04 50 27.9|-72 31 11|2009-11-02 14:34:38.363|
|GRB091103912|11 22 24.0|+11 18 00|2009-11-03 21:53:51.485|
|GRB091106762|03 16 31.2|+60 19 12|2009-11-06 18:17:12.891|
|GRB091107635|12 09 24.0|+38 56 24|2009-11-07 15:13:59.630|
|GRB091109895|16 30 52.8|+42 18 36|2009-11-09 21:28:40.012|
|GRB091112737|17 10 54.7|-36 42 54|2009-11-12 17:41:15.822|
|GRB091112928|13 53 38.4|+37 10 12|2009-11-12 22:15:51.190|
|GRB091115177|20 31 02.4|+71 27 36|2009-11-15 04:14:50.419|
|GRB091117080|16 26 09.6|-73 56 24|2009-11-17 01:55:24.897|
|GRB091120191|15 07 14.4|-21 47 24|2009-11-20 04:34:40.230|
|GRB091122163|08 02 02.4|-31 07 48|2009-11-22 03:54:20.375|
