theta,phi,require time (s),NN,NP,NT,NB,PN,PP,PT,PB
37.64,324.96,384.16,5.262986132,2.580835836,7.115083879,2.654919323,0.253175023,0.221594292,0.273378649,0.267822387
37.87,49.94,452.12,0.207070941,0.22029895,0.321365972,0.254479549,5.254262145,2.350556883,7.057785567,2.153728431
38.45,82.4,494.22,0.179987634,0.188493837,0.327192658,0.244557447,4.569550298,3.922379625,6.930630365,2.625323533
39.02,114.86,570.14,0.173819553,0.187939049,0.316775884,0.229741314,2.919783412,5.270451301,6.967586195,2.530142371
38.68,167.39,1406.74,0.104438772,0.151499225,0.151883616,0.077398448,2.09315981,4.583855158,5.860059611,2.67128402
39.25,199.85,1576.18,2.331323388,4.998431262,6.710721652,2.968023146,0.07092498,0.101535496,0.0840493,0.064582075
38.91,252.37,1244.08,3.363465558,5.15877249,7.020901012,2.797473914,0.084148732,0.094106446,0.14427411,0.079779364
39.48,284.83,837.62,4.994082759,3.711742704,6.98430691,2.774314064,0.09774731,0.100989697,0.122133172,0.110250889
38.57,304.89,437.31,5.366045751,2.662996987,7.105192879,2.479379852,0.181441621,0.187131428,0.222088411,0.241779606
38.8,29.88,417.92,0.271889913,0.244202826,0.327001418,0.293253525,5.230612066,2.500097206,6.906994131,2.65972114
39.36,62.34,437.96,0.196953896,0.239359881,0.305280395,0.242181996,5.25649487,2.860649504,6.957310956,2.428819548
40.48,127.26,721.94,0.155433094,0.15697053,0.278422346,0.207666498,2.375513263,5.569646454,6.897264712,2.072086463
39.59,147.32,1266.95,0.08473167,0.084834359,0.126837572,0.089198663,2.383054138,5.409782077,6.850977794,2.385294053
39.81,232.31,1308.44,2.376414537,5.582789179,6.980441736,2.247654679,0.075559956,0.072707465,0.093467265,0.07163545
40.37,264.77,1152.6,4.144677097,4.799746799,6.874679763,2.653898628,0.076453253,0.071497231,0.088238356,0.087250679
40.04,317.29,349.58,5.529496256,2.485953662,6.993628048,2.249836388,0.227196875,0.231627999,0.289651301,0.300455801
40.26,42.28,383.78,0.236094192,0.249114014,0.350963138,0.3171794,5.479025178,2.330696522,6.897242968,2.062757264
39.93,94.8,551.07,0.164193646,0.175695685,0.315328529,0.189418452,4.090004318,4.646654345,6.834181458,2.495042518
41.36,107.2,607.66,0.170587387,0.183681187,0.311748851,0.205767356,3.453946306,5.249094866,6.794497764,2.478501721
41.03,159.72,1638.02,0.07093297,0.073841972,0.107091957,0.0790469,2.381916143,5.181127541,6.553776577,2.736985575
40.7,212.25,1556.01,2.396739289,5.518318513,6.81108839,2.433257208,0.067446841,0.070323646,0.08269835,0.066477454
41.25,244.71,1163.97,3.001899529,5.559183554,6.885747244,2.522986641,0.083286161,0.075713421,0.101512431,0.075433984
40.92,297.23,509.25,5.469253036,3.066716709,6.940665823,2.526028275,0.16284363,0.169645746,0.206777958,0.211472376
40.81,74.74,584.68,0.164246896,0.188904791,0.322395378,0.212679564,5.049389056,3.619342373,6.820341922,2.498298202
41.89,139.66,1073.46,0.103250326,0.099371953,0.146961563,0.108007393,2.288391735,5.702492676,6.767583364,1.998748455
42.43,172.12,1221.9,0.186741451,0.312821793,0.154422799,0.092204486,1.844033146,4.616875672,4.269043392,2.838700971
41.57,192.19,1257.36,2.119357295,4.632838937,6.347281621,2.762909093,0.101707214,0.102683738,0.187631605,0.076705619
42.11,224.65,1321.77,2.204713564,5.76749707,6.796526221,2.071521745,0.073758265,0.071789655,0.089390256,0.070125565
41.79,277.17,832.72,4.862485929,4.262502953,6.778597765,2.618298836,0.116939214,0.101266596,0.127246036,0.202430661
42.32,309.63,328.18,5.744299635,2.568671657,6.862225145,2.168741791,0.230837408,0.236399904,0.301923387,0.31395275
41.68,54.68,410.31,0.22992504,0.239150183,0.323286259,0.282095154,5.594439681,2.553580947,6.825386843,2.051112887
42.22,87.14,595.37,0.153205601,0.14791323,0.281820456,0.151607646,4.632231263,4.402528709,6.651567808,2.384127719
42.75,119.6,590.11,0.161798545,0.172918578,0.29003719,0.197666508,2.768371459,5.690142877,6.717071713,2.148047245
43.27,152.06,1436.81,0.077550004,0.078902588,0.111395717,0.084358196,2.485171189,5.638280912,6.552952738,2.399867882
42.96,204.59,1603.44,2.463283689,5.463249947,6.552110211,2.420576376,0.069092892,0.071504259,0.086208273,0.064833064
43.48,237.05,1165.92,2.633559418,5.888206107,6.73109158,2.169479678,0.079213394,0.074805676,0.092192451,0.073919948
42.64,257.11,1013.87,3.830863324,5.300189414,6.755135351,2.620119345,0.092921618,0.08520221,0.10281048,0.110245172
